id,phdr_in_vivo_result_id,phdr_clinical_trial_id
DCV_219:NCT01492504,DCV_219,NCT01492504
DCV_220:NCT01492504,DCV_220,NCT01492504
DCV_221:NCT01492504,DCV_221,NCT01492504
DCV_222:NCT01492504,DCV_222,NCT01492504
DCV_223:NCT01492504,DCV_223,NCT01492504
DCV_224:NCT01492504,DCV_224,NCT01492504
DCV_225:NCT01492504,DCV_225,NCT01492504
DCV_226:NCT01492504,DCV_226,NCT01492504
DCV_227:NCT01492504,DCV_227,NCT01492504
DCV_228:NCT01492504,DCV_228,NCT01492504
DCV_295:DUAL,DCV_295,DUAL
DCV_296:DUAL,DCV_296,DUAL
DCV_297:DUAL,DCV_297,DUAL
DCV_340:NCT01012895,DCV_340,NCT01012895
DCV_341:NCT01012895,DCV_341,NCT01012895
DCV_342:NCT01012895,DCV_342,NCT01012895
DCV_343:NCT01012895,DCV_343,NCT01012895
DCV_344:NCT01012895,DCV_344,NCT01012895
DCV_345:NCT01012895,DCV_345,NCT01012895
DCV_346:NCT01012895,DCV_346,NCT01012895
DCV_347:NCT01012895,DCV_347,NCT01012895
DCV_348:NCT01012895,DCV_348,NCT01012895
DCV_349:NCT01012895,DCV_349,NCT01012895
DCV_350:NCT01012895,DCV_350,NCT01012895
DCV_351:NCT01012895,DCV_351,NCT01012895
DCV_352:NCT01012895,DCV_352,NCT01012895
DCV_353:NCT01012895,DCV_353,NCT01012895
DCV_354:NCT01012895,DCV_354,NCT01012895
DCV_355:NCT01012895,DCV_355,NCT01012895
DCV_356:NCT01012895,DCV_356,NCT01012895
DCV_357:NCT01012895,DCV_357,NCT01012895
DCV_358:NCT01012895,DCV_358,NCT01012895
DCV_359:NCT01012895,DCV_359,NCT01012895
DCV_360:ALLY-3,DCV_360,ALLY-3
DCV_361:ALLY-2,DCV_361,ALLY-2
DCV_362:ALLY-2,DCV_362,ALLY-2
DCV_363:ALLY-3,DCV_363,ALLY-3
DCV_364:ALLY-3,DCV_364,ALLY-3
DCV_365:ALLY-3,DCV_365,ALLY-3
DCV_88:NCT01012895,DCV_88,NCT01012895
DCV_89:NCT01012895,DCV_89,NCT01012895
DCV_90:NCT01012895,DCV_90,NCT01012895
DCV_91:NCT01012895,DCV_91,NCT01012895
DCV_92:NCT01012895,DCV_92,NCT01012895
DCV_93:NCT01012895,DCV_93,NCT01012895
DSV_10:AVIATOR,DSV_10,AVIATOR
DSV_11:AVIATOR,DSV_11,AVIATOR
DSV_12:GARNET,DSV_12,GARNET
DSV_13:PEARL-IV,DSV_13,PEARL-IV
