id,phdr_in_vivo_result_id,phdr_regimen_id
DCV_217:DCV_PR,DCV_217,DCV_PR
DCV_217:SOF_DCV,DCV_217,SOF_DCV
DCV_218:DCV_ASV,DCV_218,DCV_ASV
DCV_218:DCV_ASV_BCV,DCV_218,DCV_ASV_BCV
DCV_218:DCV_ASV_PR,DCV_218,DCV_ASV_PR
DCV_218:DCV_PR,DCV_218,DCV_PR
DCV_218:SOF_DCV,DCV_218,SOF_DCV
DCV_219:DCV_ASV,DCV_219,DCV_ASV
DCV_219:DCV_ASV_BCV,DCV_219,DCV_ASV_BCV
DCV_219:DCV_ASV_PR,DCV_219,DCV_ASV_PR
DCV_219:DCV_PR,DCV_219,DCV_PR
DCV_219:SOF_DCV,DCV_219,SOF_DCV
DCV_220:DCV_ASV,DCV_220,DCV_ASV
DCV_220:DCV_ASV_BCV,DCV_220,DCV_ASV_BCV
DCV_220:DCV_ASV_PR,DCV_220,DCV_ASV_PR
DCV_220:DCV_PR,DCV_220,DCV_PR
DCV_220:SOF_DCV,DCV_220,SOF_DCV
DCV_221:DCV_ASV,DCV_221,DCV_ASV
DCV_221:DCV_ASV_BCV,DCV_221,DCV_ASV_BCV
DCV_221:DCV_ASV_PR,DCV_221,DCV_ASV_PR
DCV_221:DCV_PR,DCV_221,DCV_PR
DCV_221:SOF_DCV,DCV_221,SOF_DCV
DCV_222:DCV_ASV,DCV_222,DCV_ASV
DCV_222:DCV_ASV_BCV,DCV_222,DCV_ASV_BCV
DCV_222:DCV_ASV_PR,DCV_222,DCV_ASV_PR
DCV_222:DCV_PR,DCV_222,DCV_PR
DCV_222:SOF_DCV,DCV_222,SOF_DCV
DCV_223:DCV_ASV,DCV_223,DCV_ASV
DCV_223:DCV_ASV_BCV,DCV_223,DCV_ASV_BCV
DCV_223:DCV_ASV_PR,DCV_223,DCV_ASV_PR
DCV_223:DCV_PR,DCV_223,DCV_PR
DCV_223:SOF_DCV,DCV_223,SOF_DCV
DCV_224:DCV_ASV,DCV_224,DCV_ASV
DCV_224:DCV_ASV_BCV,DCV_224,DCV_ASV_BCV
DCV_224:DCV_ASV_PR,DCV_224,DCV_ASV_PR
DCV_224:DCV_PR,DCV_224,DCV_PR
DCV_224:SOF_DCV,DCV_224,SOF_DCV
DCV_225:DCV_ASV,DCV_225,DCV_ASV
DCV_225:DCV_ASV_BCV,DCV_225,DCV_ASV_BCV
DCV_225:DCV_ASV_PR,DCV_225,DCV_ASV_PR
DCV_225:DCV_PR,DCV_225,DCV_PR
DCV_225:SOF_DCV,DCV_225,SOF_DCV
DCV_226:DCV_ASV,DCV_226,DCV_ASV
DCV_226:DCV_ASV_BCV,DCV_226,DCV_ASV_BCV
DCV_226:DCV_ASV_PR,DCV_226,DCV_ASV_PR
DCV_226:DCV_PR,DCV_226,DCV_PR
DCV_226:SOF_DCV,DCV_226,SOF_DCV
DCV_227:DCV_ASV,DCV_227,DCV_ASV
DCV_227:DCV_ASV_BCV,DCV_227,DCV_ASV_BCV
DCV_227:DCV_ASV_PR,DCV_227,DCV_ASV_PR
DCV_227:DCV_PR,DCV_227,DCV_PR
DCV_227:SOF_DCV,DCV_227,SOF_DCV
DCV_228:DCV_ASV,DCV_228,DCV_ASV
DCV_228:DCV_ASV_BCV,DCV_228,DCV_ASV_BCV
DCV_228:DCV_ASV_PR,DCV_228,DCV_ASV_PR
DCV_228:DCV_PR,DCV_228,DCV_PR
DCV_228:SOF_DCV,DCV_228,SOF_DCV
DCV_229:SOF_DCV,DCV_229,SOF_DCV
DCV_230:SOF_DCV,DCV_230,SOF_DCV
DCV_231:SOF_DCV,DCV_231,SOF_DCV
DCV_232:SOF_DCV,DCV_232,SOF_DCV
DCV_233:SOF_DCV,DCV_233,SOF_DCV
DCV_234:SOF_DCV,DCV_234,SOF_DCV
DCV_235:SOF_DCV,DCV_235,SOF_DCV
DCV_236:SOF_DCV,DCV_236,SOF_DCV
DCV_237:SOF_DCV,DCV_237,SOF_DCV
DCV_238:SOF_DCV,DCV_238,SOF_DCV
DCV_239:SOF_DCV,DCV_239,SOF_DCV
DCV_295:DCV_ASV,DCV_295,DCV_ASV
DCV_296:DCV_ASV,DCV_296,DCV_ASV
DCV_297:DCV_ASV,DCV_297,DCV_ASV
DCV_298:SOF_DCV,DCV_298,SOF_DCV
DCV_299:SOF_DCV,DCV_299,SOF_DCV
DCV_300:DCV_ASV,DCV_300,DCV_ASV
DCV_301:DCV_ASV,DCV_301,DCV_ASV
DCV_302:DCV_ASV,DCV_302,DCV_ASV
DCV_303:DCV_ASV,DCV_303,DCV_ASV
DCV_304:DCV_ASV,DCV_304,DCV_ASV
DCV_305:DCV_ASV,DCV_305,DCV_ASV
DCV_306:DCV_ASV,DCV_306,DCV_ASV
DCV_307:DCV_ASV,DCV_307,DCV_ASV
DCV_308:DCV_ASV,DCV_308,DCV_ASV
DCV_309:DCV_ASV,DCV_309,DCV_ASV
DCV_310:DCV_ASV,DCV_310,DCV_ASV
DCV_311:DCV_ASV,DCV_311,DCV_ASV
DCV_312:DCV_ASV,DCV_312,DCV_ASV
DCV_313:DCV_ASV,DCV_313,DCV_ASV
DCV_314:DCV_ASV,DCV_314,DCV_ASV
DCV_315:DCV_ASV,DCV_315,DCV_ASV
DCV_316:DCV_ASV,DCV_316,DCV_ASV
DCV_317:DCV_ASV,DCV_317,DCV_ASV
DCV_318:DCV_ASV,DCV_318,DCV_ASV
DCV_319:DCV_ASV,DCV_319,DCV_ASV
DCV_320:DCV_ASV,DCV_320,DCV_ASV
DCV_321:DCV_ASV,DCV_321,DCV_ASV
DCV_322:DCV_ASV,DCV_322,DCV_ASV
DCV_323:DCV_ASV,DCV_323,DCV_ASV
DCV_324:DCV_ASV,DCV_324,DCV_ASV
DCV_325:DCV_ASV,DCV_325,DCV_ASV
DCV_326:DCV_ASV,DCV_326,DCV_ASV
DCV_327:DCV_ASV,DCV_327,DCV_ASV
DCV_328:DCV_ASV,DCV_328,DCV_ASV
DCV_329:DCV_ASV,DCV_329,DCV_ASV
DCV_330:DCV_ASV,DCV_330,DCV_ASV
DCV_331:DCV_ASV,DCV_331,DCV_ASV
DCV_332:DCV_ASV,DCV_332,DCV_ASV
DCV_333:DCV_ASV,DCV_333,DCV_ASV
DCV_334:DCV_ASV,DCV_334,DCV_ASV
DCV_335:DCV_ASV,DCV_335,DCV_ASV
DCV_336:DCV_ASV,DCV_336,DCV_ASV
DCV_337:DCV_ASV,DCV_337,DCV_ASV
DCV_338:DCV_ASV,DCV_338,DCV_ASV
DCV_339:DCV_ASV,DCV_339,DCV_ASV
DCV_340:DCV_ASV,DCV_340,DCV_ASV
DCV_341:DCV_ASV,DCV_341,DCV_ASV
DCV_342:DCV_ASV,DCV_342,DCV_ASV
DCV_343:DCV_ASV,DCV_343,DCV_ASV
DCV_344:DCV_ASV,DCV_344,DCV_ASV
DCV_345:DCV_ASV_PR,DCV_345,DCV_ASV_PR
DCV_346:DCV_ASV_PR,DCV_346,DCV_ASV_PR
DCV_347:DCV_ASV_PR,DCV_347,DCV_ASV_PR
DCV_348:DCV_ASV_RBV,DCV_348,DCV_ASV_RBV
DCV_349:DCV_ASV_RBV,DCV_349,DCV_ASV_RBV
